,ENTERTAINMENTRATING,FOODRATING,GROUNDSERVICERATING,OVERALLSCORE,SEATCOMFORTRATING,SERVICERATING,PURPOSE,VALUERATING,WIFIRATING,LONGDISTANCE,YEAR,AIRLINE
230,0.47,1.02,1.32,2.08,1.6,1.6,0.94,1.6,0.24,0.33,2018.76,Interjet
231,2.0,3.43,3.21,6.21,3.36,3.57,1.0,3.43,0.29,0.79,2017.64,Iran Air
232,0.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,2016.0,Iran Aseman Airlines
233,3.33,3.33,3.0,6.0,3.67,3.33,0.67,3.67,0.33,1.0,2020.0,Iraqi Airways
234,0.14,1.86,2.57,4.71,2.43,3.0,0.86,3.43,0.14,0.14,2015.57,Island Air
235,0.0,1.25,2.25,3.0,1.75,2.25,1.0,2.0,0.0,0.0,2018.25,Israir Airlines
236,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2019.0,JC International Airlines
237,3.12,3.63,3.94,7.39,3.87,4.24,0.76,3.89,1.14,0.87,2017.93,Japan Airlines
238,0.5,0.77,1.43,1.73,1.43,1.67,0.83,1.47,0.33,0.47,2020.23,Jazeera Airways
239,1.25,3.5,4.75,8.0,3.5,4.5,1.0,3.75,1.0,0.25,2016.75,Jazz
240,0.43,0.62,2.1,3.52,2.0,2.67,0.86,2.19,0.24,0.33,2018.57,Jeju Air
241,1.42,2.24,2.27,3.82,2.29,2.67,0.77,2.47,0.39,0.68,2017.18,Jet Airways
242,0.24,2.16,3.48,6.17,3.05,3.5,0.99,3.44,0.26,0.18,2017.33,Jet2.com
243,0.5,1.17,2.17,2.67,2.0,2.0,0.83,3.17,0.5,0.5,2021.0,JetSmart
244,2.09,3.0,3.27,6.36,2.82,4.0,0.91,3.55,0.82,0.82,2015.64,Jetairfly
245,1.79,1.7,1.89,2.88,2.32,2.29,0.89,1.96,1.56,0.69,2019.78,Jetblue Airways
246,0.56,0.94,1.79,2.79,1.86,2.07,0.89,2.01,0.24,0.34,2018.68,Jetstar Airways
